# Wireshark / IEEE OUI database for NetScanner
# Format: <MAC prefix>\t<Short Name>\t<Full Vendor Name>
#
00:00:00	Officially	Officially Xerox, but 0:0:0:0:0:0 is more common
1C:EA:AC	Beijing	Beijing Xiaomi Mobile Software Co., Ltd
1C:ED:6F	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
1C:F2:9A	Google	Google, Inc.
1C:F4:3F	Arcadyan	Arcadyan Corporation
1C:FA:68	TpLink	Tp-Link Technologies Co.,Ltd.
1C:FE:2B	Amazon	Amazon Technologies Inc.
20:02:AF	Murata	Murata Manufacturing Co., Ltd.
20:0B:CF	Nintendo	Nintendo Co.,Ltd
20:0C:C8	Netgear	Netgear
20:10:B1	Amazon	Amazon Technologies Inc.
20:16:42	Microsoft	Microsoft Corporation
20:17:42	LG	LG Electronics
20:1A:06	Compal	Compal Information (Kunshan) Co., Ltd.
20:1C:3A	Nintendo	Nintendo Co.,Ltd
20:1F:3B	Google	Google, Inc.
20:21:A5	LG	LG Electronics (Mobile Communications)
20:23:51	TPLink	TP-Link Systems Inc
20:25:64	Pegatron	Pegatron Corporation
20:25:65	Espressif	Espressif Inc.
20:25:CC	Xiaomi	Xiaomi Communications Co Ltd
20:31:1C	vivo	vivo Mobile Communication Co., Ltd.
20:33:89	Google	Google, Inc.
20:34:62	Xiaomi	Xiaomi Communications Co Ltd
20:34:FB	Xiaomi	Xiaomi Communications Co Ltd
20:35:43	Sagemcom	Sagemcom Broadband SAS
20:36:26	TPLink	TP-Link Systems Inc
20:36:D0	Motorola	Motorola Mobility LLC, a Lenovo Company
20:37:F0	Arcadyan	Arcadyan Corporation
20:3B:34	Xiaomi	Xiaomi Communications Co Ltd
20:3B:69	vivo	vivo Mobile Communication Co., Ltd.
20:43:A8	Espressif	Espressif Inc.
20:47:B5	Sagemcom	Sagemcom Broadband SAS
20:47:DA	Xiaomi	Xiaomi Communications Co Ltd
20:4E:7F	Netgear	Netgear
20:50:0D	Espressif	Espressif Inc.
20:53:8D	Hon	Hon Hai Precision Industry Co., Ltd.
20:5D:47	vivo	vivo Mobile Communication Co., Ltd.
20:62:74	Microsoft	Microsoft Corporation
20:64:CB	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
20:6B:D5	vivo	vivo Mobile Communication Co., Ltd.
20:6B:E7	TpLink	Tp-Link Technologies Co.,Ltd.
20:6E:F1	Espressif	Espressif Inc.
20:72:A9	Beijing	Beijing Xiaomi Electronics Co.,Ltd
20:74:54	vivo	vivo Mobile Communication Co., Ltd.
20:76:93	Lenovo	Lenovo (Beijing) Limited.
20:82:6A	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
20:82:C0	Xiaomi	Xiaomi Communications Co Ltd
20:89:84	Compal	Compal Information (Kunshan) Co., Ltd.
20:99:52	Xiaomi	Xiaomi Communications Co Ltd
20:9A:7D	Sagemcom	Sagemcom Broadband SAS
20:9B:A9	Espressif	Espressif Inc.
20:A1:71	Amazon	Amazon Technologies Inc.
20:A3:66	vivo	vivo Mobile Communication Co., Ltd.
20:A6:0C	Xiaomi	Xiaomi Communications Co Ltd
20:A9:9B	Microsoft	Microsoft Corporation
20:AA:4B	CiscoLinksys	Cisco-Linksys, LLC
20:AB:53	Motorola	Motorola Mobility LLC, a Lenovo Company
20:B8:2B	Sagemcom	Sagemcom Broadband SAS
20:B8:68	Motorola	Motorola Mobility LLC, a Lenovo Company
20:BE:B8	Amazon	Amazon Technologies Inc.
20:CF:30	ASUSTek	ASUSTek COMPUTER INC.
20:D5:C2	Espressif	Espressif Systems (Singapore) Pte. Ltd
20:DC:E6	TpLink	Tp-Link Technologies Co.,Ltd.
20:DF:B9	Google	Google, Inc.
20:E1:5D	TPLink	TP-Link Systems Inc.
20:E4:6F	vivo	vivo Mobile Communication Co., Ltd.
20:E5:2A	Netgear	Netgear
20:E7:C8	Espressif	Espressif Inc.
20:EF:BD	Roku	Roku, Inc
20:F0:94	Google	Google, Inc.
20:F1:B2	Tuya	Tuya Smart Inc.
20:F4:78	Xiaomi	Xiaomi Communications Co Ltd
20:F7:7C	vivo	vivo Mobile Communication Co., Ltd.
20:FE:00	Amazon	Amazon Technologies Inc.
24:05:88	Google	Google, Inc.
24:06:AA	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
24:0A:C4	Espressif	Espressif Inc.
24:11:45	Xiaomi	Xiaomi Communications Co Ltd
24:20:C7	Sagemcom	Sagemcom Broadband SAS
24:23:61	vivo	vivo Mobile Communication Co., Ltd.
24:29:34	Google	Google, Inc.
24:2F:D0	TPLink	TP-Link Systems Inc
24:46:C8	Motorola	Motorola Mobility LLC, a Lenovo Company
24:47:50	Sagemcom	Sagemcom Broadband SAS
24:4B:FE	ASUSTek	ASUSTek COMPUTER INC.
24:4C:AB	Espressif	Espressif Inc.
24:4C:E3	Amazon	Amazon Technologies Inc.
24:4E:CD	Sagemcom	Sagemcom Broadband SAS
24:5A:4C	Ubiquiti	Ubiquiti Inc
24:5A:5F	TpLink	Tp-Link Technologies Co.,Ltd.
24:5E:BE	QNAP	QNAP Systems, Inc.
24:64:77	Beijing	Beijing Xiaomi Mobile Software Co., Ltd
24:65:11	AVM	AVM GmbH
24:69:68	TpLink	Tp-Link Technologies Co.,Ltd.
24:75:3A	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
24:75:B3	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
24:79:F3	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
24:7F:20	Sagemcom	Sagemcom Broadband SAS
24:82:CA	vivo	vivo Mobile Communication Co., Ltd.
24:95:2F	Google	Google, Inc.
24:A4:3C	Ubiquiti	Ubiquiti Inc
24:B5:B9	Motorola	Motorola Mobility LLC, a Lenovo Company
24:CD:8D	Murata	Murata Manufacturing Co., Ltd.
24:CE:33	Amazon	Amazon Technologies Inc.
24:D5:3B	Motorola	Motorola Mobility LLC, a Lenovo Company
24:DA:9B	Motorola	Motorola Mobility LLC, a Lenovo Company
24:E5:0F	Google	Google, Inc.
24:F5:A2	Belkin	Belkin International Inc.
28:0D:FC	Sony	Sony Interactive Entertainment Inc.
28:10:7B	DLink	D-Link International
28:11:A5	Bose	Bose Corporation
28:12:D0	Motorola	Motorola Mobility LLC, a Lenovo Company
28:16:A8	Microsoft	Microsoft Corporation
28:18:78	Microsoft	Microsoft Corporation
28:24:C9	Amazon	Amazon Technologies Inc.
28:2C:B2	TpLink	Tp-Link Technologies Co.,Ltd.
28:31:66	vivo	vivo Mobile Communication Co., Ltd.
28:3B:82	DLink	D-Link International
28:40:DD	Sony	Sony Interactive Entertainment Inc.
28:56:5A	Hon	Hon Hai Precision Ind. Co.,Ltd.
28:70:4E	Ubiquiti	Ubiquiti Inc
28:73:F6	Amazon	Amazon Technologies Inc.
28:80:88	Netgear	Netgear
28:87:BA	TPLink	TP-Link Systems Inc
28:91:04	TPLink	TP-Link Systems Inc.
28:94:01	Netgear	Netgear
28:9E:FC	Sagemcom	Sagemcom Broadband SAS
28:A5:3F	vivo	vivo Mobile Communication Co., Ltd.
28:BD:89	Google	Google, Inc.
28:BE:43	vivo	vivo Mobile Communication Co., Ltd.
28:C1:3C	Hon	Hon Hai Precision Industry Co., Ltd.
28:C6:8E	Netgear	Netgear
28:CD:C1	Raspberry	Raspberry Pi Trading Ltd
28:CF:51	Nintendo	Nintendo Co.,Ltd
28:D5:55	vivo	vivo Mobile Communication Co., Ltd.
28:EA:0B	Microsoft	Microsoft Corporation
28:EE:52	TpLink	Tp-Link Technologies Co.,Ltd.
28:EF:01	Amazon	Amazon Technologies Inc.
28:FA:A0	vivo	vivo Mobile Communication Co., Ltd.
2C:10:C1	Nintendo	Nintendo Co., Ltd.
2C:29:97	Microsoft	Microsoft Corporation
2C:2B:86	Sagemcom	Sagemcom Broadband SAS
2C:30:1A	Technicolor	Technicolor CH USA Inc for Telus
2C:30:33	Netgear	Netgear
2C:33:7A	Hon	Hon Hai Precision Ind. Co.,Ltd.
2C:39:96	Sagemcom	Sagemcom Broadband SAS
2C:3A:FD	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
2C:41:A1	Bose	Bose Corporation
2C:48:81	vivo	vivo Mobile Communication Co., Ltd.
2C:4C:C6	Murata	Murata Manufacturing Co., Ltd.
2C:4D:54	ASUSTek	ASUSTek COMPUTER INC.
2C:54:91	Microsoft	Microsoft Corporation
2C:54:CF	LG	LG Electronics (Mobile Communications)
2C:56:DC	ASUSTek	ASUSTek COMPUTER INC.
2C:59:17	Arcadyan	Arcadyan Corporation
2C:59:8A	LG	LG Electronics (Mobile Communications)
2C:5B:B8	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
2C:5D:34	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
2C:6F:C9	Hon	Hon Hai Precision Ind. Co.,Ltd.
2C:71:FF	Amazon	Amazon Technologies Inc.
2C:79:D7	Sagemcom	Sagemcom Broadband SAS
2C:81:58	Hon	Hon Hai Precision Ind. Co.,Ltd.
2C:91:AB	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
2C:9D:65	vivo	vivo Mobile Communication Co., Ltd.
2C:9E:00	Sony	Sony Interactive Entertainment Inc.
2C:9E:FC	Canon	Canon Inc.
2C:A7:EF	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
2C:A9:F0	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
2C:B0:5D	Netgear	Netgear
2C:B4:71	Tuya	Tuya Smart Inc.
2C:CC:44	Sony	Sony Interactive Entertainment Inc.
2C:CF:67	Raspberry	Raspberry Pi (Trading) Ltd
2C:D1:C6	Murata	Murata Manufacturing Co., Ltd.
2C:E4:12	Sagemcom	Sagemcom Broadband SAS
2C:E5:BD	Ubiquiti	Ubiquiti Inc
2C:F2:A5	Sagemcom	Sagemcom Broadband SAS
2C:FB:0F	Sagemcom	Sagemcom Broadband SAS
2C:FC:8B	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
2C:FD:A1	ASUSTek	ASUSTek COMPUTER INC.
2C:FD:AB	Motorola	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
2C:FF:EE	vivo	vivo Mobile Communication Co., Ltd.
30:05:5C	Brother	Brother industries, LTD.
30:09:C0	Motorola	Motorola Mobility LLC, a Lenovo Company
30:0D:43	Microsoft	Microsoft Mobile Oy
30:0E:B8	LG	LG Electronics
30:0E:D5	Hon	Hon Hai Precision Ind. Co.,Ltd.
30:1A:BA	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
30:23:03	Belkin	Belkin International Inc.
30:24:78	Sagemcom	Sagemcom Broadband SAS
30:41:DB	vivo	vivo Mobile Communication Co., Ltd.
30:46:9A	Netgear	Netgear
30:48:7D	Tuya	Tuya Smart Inc.
30:4B:07	Motorola	Motorola Mobility LLC, a Lenovo Company
30:4D:1F	Amazon	Amazon Technologies Inc.
30:4F:00	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
30:56:0F	GIGABYTE	GIGA-BYTE TECHNOLOGY CO. , Ltd.
30:59:B7	Microsoft	Microsoft
30:5A:3A	ASUSTek	ASUSTek COMPUTER INC.
30:67:A1	Sagemcom	Sagemcom Broadband SAS
30:6D:F9	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
30:76:6F	LG	LG Electronics (Mobile Communications)
30:7F:10	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
30:83:D2	Motorola	Motorola Mobility LLC, a Lenovo Company
30:84:54	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
30:85:A9	ASUSTek	ASUSTek COMPUTER INC.
30:89:EC	Nintendo	Nintendo Co.,Ltd
30:93:BC	Sagemcom	Sagemcom Broadband SAS
30:94:35	vivo	vivo Mobile Communication Co., Ltd.
30:AF:CE	vivo	vivo Mobile Communication Co., Ltd.
30:B1:B5	Arcadyan	Arcadyan Corporation
30:B4:B8	LG	LG Electronics
30:BB:7D	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
30:C5:99	ASUSTek	ASUSTek COMPUTER INC.
30:E0:44	Google	Google, Inc.
30:E7:BC	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
30:F6:00	Sagemcom	Sagemcom Broadband SAS
30:F7:72	Hon	Hon Hai Precision Ind. Co.,Ltd.
30:FC:EB	LG	LG Electronics (Mobile Communications)
30:FD:38	Google	Google, Inc.
34:02:9C	DLink	D-Link Corporation
34:05:57	vivo	vivo Mobile Communication Co., Ltd.
34:08:04	DLink	D-Link Corporation
34:0A:33	DLink	D-Link International
34:15:30	vivo	vivo Mobile Communication Co., Ltd.
34:19:4D	Arcadyan	Arcadyan Corporation
34:23:87	Hon	Hon Hai Precision Ind. Co.,Ltd.
34:25:BE	Amazon	Amazon Technologies Inc.
34:2B:70	Arris	Arris
34:2C:C4	Compal	Compal Broadband Networks, Inc.
34:2F:BD	Nintendo	Nintendo Co.,Ltd
34:31:C4	AVM	AVM GmbH
34:39:16	Google	Google, Inc.
34:47:9A	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
34:49:5B	Sagemcom	Sagemcom Broadband SAS
34:4D:F7	LG	LG Electronics (Mobile Communications)
34:53:D2	Sagemcom	Sagemcom Broadband SAS
34:5D:9E	Sagemcom	Sagemcom Broadband SAS
34:5E:08	Roku	Roku, Inc
34:68:95	Hon	Hon Hai Precision Ind. Co.,Ltd.
34:6F:3F	Hon	Hon Hai Precision Industry Co.,LTD
34:7E:5C	Sonos	Sonos, Inc.
34:81:C4	AVM	AVM GmbH
34:90:EA	Murata	Murata Manufacturing Co., Ltd.
34:97:F6	ASUSTek	ASUSTek COMPUTER INC.
34:98:B5	Netgear	Netgear
34:9F:7B	Canon	Canon Inc.
34:AF:2C	Nintendo	Nintendo Co., Ltd.
34:AF:B3	Amazon	Amazon Technologies Inc.
34:BB:26	Motorola	Motorola Mobility LLC, a Lenovo Company
34:C7:E9	Google	Google, Inc.
34:D2:70	Amazon	Amazon Technologies Inc.
34:D8:68	Broadcom	Broadcom Limited
34:DD:CC	Google	Google, Inc.
34:E1:A9	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
34:E9:11	vivo	vivo Mobile Communication Co., Ltd.
34:FC:EF	LG	LG Electronics (Mobile Communications)
38:06:E6	Arcadyan	Arcadyan Corporation
38:10:D5	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
38:1A:52	Seiko	Seiko Epson Corporation
38:1F:8D	Tuya	Tuya Smart Inc.
38:25:6B	Microsoft	Microsoft Mobile Oy
38:29:5A	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
38:2C:4A	ASUSTek	ASUSTek COMPUTER INC.
38:2C:E5	Tuya	Tuya Smart Inc.
38:30:F9	LG	LG Electronics (Mobile Communications)
38:33:C5	Microsoft	Microsoft Corporation
38:38:4B	vivo	vivo Mobile Communication Co., Ltd.
38:39:CD	vivo	vivo Mobile Communication Co., Ltd.
38:42:0B	Sonos	Sonos, Inc.
38:43:7D	Compal	Compal Broadband Networks, Inc.
38:56:3D	Microsoft	Microsoft Corporation
38:59:F9	Hon	Hon Hai Precision Ind. Co.,Ltd.
38:60:77	Pegatron	Pegatron Corporation
38:6F:6B	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
38:6F:F4	Amazon	Amazon Technologies Inc.
38:70:35	Nintendo	Nintendo Co.,Ltd
38:80:DF	Motorola	Motorola Mobility LLC, a Lenovo Company
38:86:F7	Google	Google, Inc.
38:8A:BE	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
38:8B:59	Google	Google, Inc.
38:8C:50	LG	LG Electronics
38:94:ED	Netgear	Netgear
38:9D:92	Seiko	Seiko Epson Corporation
38:A5:C9	Tuya	Tuya Smart Inc.
38:A7:46	Compal	Compal Information (Kunshan) Co., Ltd.
38:B1:DB	Hon	Hon Hai Precision Ind. Co.,Ltd.
38:BA:B0	Broadcom	Broadcom
38:C6:CE	Nintendo	Nintendo Co.,Ltd
38:D5:47	ASUSTek	ASUSTek COMPUTER INC.
38:E3:9F	Motorola	Motorola Mobility LLC, a Lenovo Company
38:E5:63	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
38:EC:07	Motorola	Motorola Mobility LLC, a Lenovo Company
38:F1:8F	Technicolor	Technicolor (China) Technology Co., Ltd.
38:F2:3E	Microsoft	Microsoft Mobile Oy
38:F7:3D	Amazon	Amazon Technologies Inc.
3A:35:41	Raspberry	Raspberry Pi (Trading) Ltd
3C:0B:59	Tuya	Tuya Smart Inc.
3C:1E:04	DLink	D-Link International
3C:28:6D	Google	Google, Inc.
3C:2A:F4	Brother	Brother Industries, LTD.
3C:31:74	Google	Google, Inc.
3C:32:B9	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
3C:33:32	DLink	D-Link Corporation
3C:37:12	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
3C:37:86	Netgear	Netgear
3C:5A:B4	Google	Google, Inc.
3C:5C:C4	Amazon	Amazon Technologies Inc.
3C:6D:66	NVIDIA	NVIDIA Corporation
3C:75:DE	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
3C:77:E6	Hon	Hon Hai Precision Ind. Co.,Ltd.
3C:7C:3F	ASUSTek	ASUSTek COMPUTER INC.
3C:83:75	Microsoft	Microsoft Corporation
3C:8D:20	Google	Google, Inc.
3C:A6:2F	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
3C:A9:AB	Nintendo	Nintendo Co.,Ltd
3C:BD:C5	Arcadyan	Arcadyan Corporation
3C:BD:D8	Lg	Lg Electronics Inc
3C:CD:93	Lg	Lg Electronics Inc
3C:EC:EF	Super	Super Micro Computer, Inc.
3C:F0:83	Arcadyan	Arcadyan Corporation
3C:F5:91	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
3C:FA:06	Microsoft	Microsoft Corporation
40:12:77	Microsoft	Microsoft Corporation
40:44:F7	Nintendo	Nintendo Co.,Ltd
40:53:8C	LG	LG Electronics
40:5B:7F	Broadcom	Broadcom Limited
40:5D:82	Netgear	Netgear
40:78:6A	Motorola	Motorola Mobility LLC, a Lenovo Company
40:86:CB	DLink	D-Link Corporation
40:88:05	Motorola	Motorola Mobility LLC, a Lenovo Company
40:8C:1F	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
40:8D:5C	GigaByte	Giga-Byte Technology Co.,Ltd.
40:8E:2C	Microsoft	Microsoft Corporation
40:9B:CD	DLink	D-Link International
40:A1:08	Motorola	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
40:A4:4A	Google	Google, Inc.
40:B0:FA	LG	LG Electronics (Mobile Communications)
40:B6:07	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
40:C2:BA	Compal	Compal Information (Kunshan) Co., Ltd.
40:D2:8A	Nintendo	Nintendo Co., Ltd.
40:F3:08	Murata	Murata Manufacturing Co., Ltd.
40:F4:07	Nintendo	Nintendo Co., Ltd.
40:F8:DF	Canon	Canon Inc.
40:FA:FE	Motorola	Motorola Mobility LLC, a Lenovo Company
44:04:44	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
44:07:0B	Google	Google, Inc.
44:09:B8	Salcomp	Salcomp (Shenzhen) CO., LTD.
44:10:30	Google	Google, Inc.
44:16:22	Microsoft	Microsoft Corporation
44:1C:7F	Motorola	Motorola Mobility LLC, a Lenovo Company
44:49:C0	NVIDIA	NVIDIA Corporation
44:4E:6D	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
44:66:FC	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
44:80:EB	Motorola	Motorola Mobility LLC, a Lenovo Company
44:8A:7F	Murata	Murata Manufacturing Co., Ltd.
44:91:60	Murata	Murata Manufacturing Co., Ltd.
44:94:FC	Netgear	Netgear
44:A5:6E	Netgear	Netgear
44:A7:CF	Murata	Murata Manufacturing Co., Ltd.
44:BB:3B	Google	Google, Inc.
44:BE:23	Pegatron	Pegatron Corporation
44:D2:44	Seiko	Seiko Epson Corporation
44:D9:E7	Ubiquiti	Ubiquiti Inc
44:FE:3B	Arcadyan	Arcadyan Corporation
48:01:C5	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
48:21:0B	Pegatron	Pegatron Corporation
48:22:1D	Bose	Bose Corporation
48:2C:EA	Motorola	Motorola Inc Business Light Radios
48:31:06	NVIDIA	NVIDIA Corporation
48:31:77	Nintendo	Nintendo Co.,Ltd
48:50:73	Microsoft	Microsoft Corporation
48:57:D2	Broadcom	Broadcom Limited
48:59:29	LG	LG Electronics (Mobile Communications)
48:5D:35	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
48:60:5F	LG	LG Electronics (Mobile Communications)
48:74:12	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
48:7B:2F	Microsoft	Microsoft Corporation
48:86:E8	Microsoft	Microsoft Corporation
48:88:CA	Motorola	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
48:8D:36	Arcadyan	Arcadyan Corporation
48:90:2F	LG	LG Electronics (Mobile Communications)
48:A5:E7	Nintendo	Nintendo Co.,Ltd
48:A6:B8	Sonos	Sonos, Inc.
48:B0:2D	NVIDIA	NVIDIA Corporation
48:C3:5A	LenovoBeijingCo	Lenovo(Beijing)Co., Ltd.
48:D6:D5	Google	Google, Inc.
48:EB:62	Murata	Murata Manufacturing Co., Ltd.
48:EE:0C	DLink	D-Link International
48:F1:EB	Nintendo	Nintendo Co.,Ltd
48:F8:B3	CiscoLinksys	Cisco-Linksys, LLC
4C:09:D4	Arcadyan	Arcadyan Corporation
4C:0B:BE	Microsoft	Microsoft
4C:1B:86	Arcadyan	Arcadyan Corporation
4C:22:F3	Arcadyan	Arcadyan Corporation
4C:30:6A	Nintendo	Nintendo Co.,Ltd
4C:3B:DF	Microsoft	Microsoft Corporation
4C:4F:EE	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
4C:60:DE	Netgear	Netgear
4C:72:B9	Pegatron	Pegatron Corporation
4C:80:FB	Google	Google, Inc.
4C:87:5D	Bose	Bose Corporation
4C:A9:19	Tuya	Tuya Smart Inc.
4C:BB:47	NVIDIA	NVIDIA Corporation
4C:CC:34	Motorola	Motorola Solutions Inc.
4C:E4:B6	Motorola	Motorola Mobility LLC, a Lenovo Company
50:03:CF	Canon	Canon Inc.
50:06:F5	Roku	Roku, Inc
50:13:1D	Motorola	Motorola Mobility LLC, a Lenovo Company
50:16:F4	Motorola	Motorola Mobility LLC, a Lenovo Company
50:1A:C5	Microsoft	Microsoft
50:23:6D	Nintendo	Nintendo Co.,Ltd
50:26:EF	Murata	Murata Manufacturing Co., Ltd.
50:2F:BB	Motorola	Motorola Mobility LLC, a Lenovo Company
50:44:72	Motorola	Motorola Mobility LLC, a Lenovo Company
50:4A:6E	Netgear	Netgear
50:55:27	LG	LG Electronics (Mobile Communications)
50:57:9C	Seiko	Seiko Epson Corporation
50:6A:03	Netgear	Netgear
50:7E:5D	Arcadyan	Arcadyan Corporation
50:8A:06	Tuya	Tuya Smart Inc.
50:8B:B9	Tuya	Tuya Smart Inc.
50:B0:3B	Sony	Sony Interactive Entertainment Inc.
50:E5:49	GigaByte	Giga-Byte Technology Co.,Ltd.
50:E6:36	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
54:07:7D	Netgear	Netgear
54:27:58	Motorola	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
54:2A:1B	Sonos	Sonos, Inc.
54:3D:60	Arcadyan	Arcadyan Corporation
54:4C:8A	Microsoft	Microsoft Corporation
54:4E:F0	Roku	Roku, Inc
54:60:09	Google	Google, Inc.
54:67:49	Google	Google, Inc.
54:67:51	Compal	Compal Broadband Networks, Inc.
54:B2:03	Pegatron	Pegatron Corporation
54:B7:BD	Arcadyan	Arcadyan Corporation
54:B8:0A	DLink	D-Link International
54:BE:F7	Pegatron	Pegatron Corporation
54:C4:5B	Arcadyan	Arcadyan Corporation
54:E6:FD	Sony	Sony Interactive Entertainment Inc.
54:FB:66	ASRock	ASRock Incorporation
58:05:D9	Seiko	Seiko Epson Corporation
58:24:29	Google	Google, Inc.
58:2F:40	Nintendo	Nintendo Co.,Ltd
58:3F:54	LG	LG Electronics (Mobile Communications)
58:6D:8F	CiscoLinksys	Cisco-Linksys, LLC
58:79:61	Microsoft	Microsoft Corporation
58:82:A8	Microsoft	Microsoft
58:96:0A	LG	LG Electronics
58:A2:B5	LG	LG Electronics (Mobile Communications)
58:B0:3E	Nintendo	Nintendo Co.,Ltd
58:CB:52	Google	Google, Inc.
58:D5:0A	Murata	Murata Manufacturing Co., Ltd.
58:D5:6E	DLink	D-Link International
58:D6:1F	Ubiquiti	Ubiquiti Inc
58:D9:C3	Motorola	Motorola Mobility LLC, a Lenovo Company
58:EF:68	Belkin	Belkin International Inc.
58:FD:B1	LG	LG Electronics
5C:17:CF	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
5C:33:7B	Google	Google, Inc.
5C:35:3B	Compal	Compal Broadband Networks, Inc.
5C:49:79	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
5C:51:88	Motorola	Motorola Mobility LLC, a Lenovo Company
5C:62:5A	Canon	Canon Inc.
5C:6F:69	Broadcom	Broadcom Limited
5C:70:A3	LG	LG Electronics (Mobile Communications)
5C:84:3C	Sony	Sony Interactive Entertainment Inc.
5C:96:66	Sony	Sony Interactive Entertainment Inc.
5C:AA:FD	Sonos	Sonos, Inc.
5C:AF:06	LG	LG Electronics (Mobile Communications)
5C:BA:37	Microsoft	Microsoft Corporation
5C:D9:98	DLink	D-Link Corporation
5C:DA:D4	Murata	Murata Manufacturing Co., Ltd.
5C:DC:96	Arcadyan	Arcadyan Corporation
5C:F8:A1	Murata	Murata Manufacturing Co., Ltd.
60:02:92	Pegatron	Pegatron Corporation
60:12:8B	Canon	Canon Inc.
60:1D:91	Motorola	Motorola Mobility LLC, a Lenovo Company
60:21:C0	Murata	Murata Manufacturing Co., Ltd.
60:22:32	Ubiquiti	Ubiquiti Inc
60:38:E0	Belkin	Belkin International Inc.
60:3C:EE	LG	LG Electronics (Mobile Communications)
60:45:E8	Arcadyan	Arcadyan Corporation
60:63:4C	DLink	D-Link International
60:70:6C	Google	Google, Inc.
60:8D:26	Arcadyan	Arcadyan Corporation
60:92:C8	Roku	Roku, Inc
60:95:F8	Arcadyan	Arcadyan Corporation
60:AB:D2	Bose	Bose Corporation
60:B5:8D	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
60:B7:6E	Google	Google, Inc.
60:BE:B5	Motorola	Motorola Mobility LLC, a Lenovo Company
60:F1:89	Murata	Murata Manufacturing Co., Ltd.
60:F6:20	Sonos	Sonos Inc.
64:11:A4	Motorola	Motorola Mobility LLC, a Lenovo Company
64:29:43	DLink	D-Link Corporation
64:75:DA	Arcadyan	Arcadyan Corporation
64:7D:4D	Arcadyan	Arcadyan Corporation
64:9C:81	Qualcomm	Qualcomm Inc.
64:9D:38	Google	Google, Inc.
64:A2:F9	OnePlus	OnePlus Technology (Shenzhen) Co., Ltd
64:C6:D2	Seiko	Seiko Epson Corporation
64:CC:22	Arcadyan	Arcadyan Corporation
64:DB:43	Motorola	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
64:EB:8C	Seiko	Seiko Epson Corporation
64:FA:2B	Sagemcom	Sagemcom Broadband SAS
68:02:B8	Compal	Compal Broadband Networks, Inc.
68:28:6C	Sony	Sony Interactive Entertainment Inc.
68:2E:3C	Ubiquiti	Ubiquiti Inc
